Time   ,AFR   ,AVCS L ,AVCS R ,Boost  ,F Knock ,Fuel Pump Duty ,Inj Duty Cycle ,Intake Temp ,Knock Sum ,MAF    ,MAF Volts ,MAP   ,OCV Duty Int L ,OCV Duty Int R ,RPM  ,TD Boost Error ,Throttle Pos ,Vehicle Speed ,Wastegate Duty ,
 0.000 ,14.70 ,     0 ,     0 ,-8.39  ,   0.00 ,          33.3 ,          4.51 ,         72 ,        1 , 15.65 ,     1.92 , 5.74 ,           9.4 ,           9.4 ,1922 ,1.75           ,         9.0 ,           28 ,          0.00 ,
 0.065 ,14.70 ,     0 ,     0 ,-8.33  ,   0.00 ,          33.3 ,          4.48 ,         72 ,        1 , 15.78 ,     1.92 , 5.82 ,           9.4 ,           9.4 ,1908 ,1.63           ,         9.0 ,           28 ,          0.00 ,
 0.141 ,14.70 ,     0 ,     0 ,-8.29  ,   0.00 ,          33.3 ,          4.54 ,         72 ,        1 , 15.78 ,     1.94 , 5.84 ,           9.4 ,           9.4 ,1936 ,1.55           ,         9.0 ,           28 ,          0.00 ,
 0.217 ,14.81 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          4.54 ,         72 ,        1 , 15.78 ,     1.92 , 5.86 ,           9.4 ,           9.4 ,1937 ,1.56           ,         9.0 ,           28 ,          0.00 ,
 0.321 ,14.70 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          4.54 ,         72 ,        1 , 15.91 ,     1.94 , 5.86 ,           9.4 ,           9.4 ,1934 ,1.53           ,         8.6 ,           28 ,          0.00 ,
 0.423 ,14.70 ,     0 ,     0 ,-8.29  ,   0.00 ,          33.3 ,          4.54 ,         72 ,        1 , 15.91 ,     1.92 , 5.86 ,           9.4 ,           9.4 ,1936 ,1.55           ,         9.0 ,           28 ,          0.00 ,
 0.524 ,14.47 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          4.53 ,         72 ,        1 , 15.78 ,     1.92 , 5.86 ,           9.4 ,           9.4 ,1932 ,1.46           ,         8.6 ,           28 ,          0.00 ,
 0.601 ,14.36 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          4.50 ,         72 ,        1 , 15.91 ,     1.92 , 5.86 ,           9.4 ,           9.4 ,1916 ,1.49           ,         8.6 ,           28 ,          0.00 ,
 0.693 ,14.36 ,     0 ,     0 ,-8.28  ,   0.00 ,          33.3 ,          4.50 ,         72 ,        1 , 15.91 ,     1.92 , 5.86 ,           9.4 ,           9.4 ,1918 ,1.46           ,         8.6 ,           28 ,          0.00 ,
 0.766 ,14.36 ,     0 ,     0 ,-8.29  ,   0.00 ,          33.3 ,          4.48 ,         72 ,        1 , 15.85 ,     1.94 , 5.86 ,           9.4 ,           9.4 ,1909 ,1.50           ,         8.6 ,           28 ,          0.00 ,
