Time   ,AFR 1 ,AVCS In L ,AVCS In R ,Boost  ,Feed Knock ,Fuel Pump Duty ,Inj Duty Cycle ,Intake Temp ,Knock Sum ,MAF    ,MAF  ,MAP   ,OCV L ,OCV R ,RPM  ,Boost Error ,Throttle Pos ,Vehicle Speed ,Wastegate Duty ,
 0.000 ,14.81 ,       41 ,       16 ,-3.62  ,      0.00 ,          66.7 ,          8.95 ,         72 ,       11 , 34.58 ,2.46 , 9.78 , 50.6 , 57.6 ,1997 ,6.55        ,        21.6 ,           29 ,          0.00 ,0
 0.044 ,14.24 ,       40 ,       16 ,-2.47  ,      0.00 ,          66.7 ,          9.86 ,         72 ,       11 , 38.47 ,2.56 ,11.66 , 52.5 , 57.6 ,2009 ,5.80        ,        25.5 ,           29 ,         37.25 ,0
 0.129 ,14.24 ,       40 ,       17 ,-1.28  ,      0.00 ,          66.7 ,         10.77 ,         72 ,       11 , 41.83 ,2.60 ,12.45 , 45.9 , 57.6 ,2019 ,5.45        ,        29.8 ,           29 ,         50.59 ,0
 0.222 ,14.47 ,       38 ,       16 ,-0.65  ,      0.00 ,          66.7 ,         11.77 ,         72 ,       11 , 43.47 ,2.64 ,13.21 , 44.7 , 57.6 ,2043 ,6.02        ,        34.1 ,           30 ,         51.76 ,0
 0.306 ,14.36 ,       38 ,       18 ,-0.23  ,      0.00 ,         100.0 ,         12.23 ,         72 ,       11 , 45.23 ,2.66 ,13.88 , 44.3 , 57.6 ,2048 ,6.42        ,        34.1 ,           30 ,         51.76 ,0
 0.404 ,14.01 ,       36 ,       17 ,-0.11  ,      0.00 ,         100.0 ,         11.95 ,         72 ,       11 , 46.16 ,2.68 ,14.00 , 43.9 , 57.6 ,2074 ,6.52        ,        33.7 ,           30 ,         51.76 ,0
 0.512 ,13.55 ,       33 ,       18 ,-0.03  ,      0.00 ,         100.0 ,         12.00 ,         72 ,       11 , 48.76 ,2.70 ,14.12 , 45.5 , 57.6 ,2084 ,6.74        ,        33.3 ,           30 ,         51.76 ,0
 0.582 ,13.78 ,       32 ,       18 ,0.08   ,      0.00 ,         100.0 ,         11.80 ,         72 ,       11 , 50.01 ,2.74 ,14.15 , 46.7 , 57.6 ,2128 ,6.91        ,        32.5 ,           30 ,         51.76 ,0
 0.670 ,14.01 ,       30 ,       18 ,0.14   ,      0.00 ,         100.0 ,         11.92 ,         72 ,       11 , 51.66 ,2.78 ,14.25 , 50.2 , 57.6 ,2150 ,6.92        ,        31.4 ,           31 ,         51.76 ,0
 0.764 ,14.24 ,       29 ,       18 ,0.24   ,      0.00 ,         100.0 ,         11.89 ,         72 ,       11 , 53.39 ,2.80 ,14.35 , 52.9 , 57.6 ,2144 ,6.94        ,        30.6 ,           31 ,         51.76 ,0
 0.851 ,14.47 ,       27 ,       18 ,0.18   ,      0.00 ,         100.0 ,         11.92 ,         72 ,       11 , 54.45 ,2.82 ,14.37 , 53.7 , 57.6 ,2150 ,7.03        ,        29.8 ,           32 ,         51.76 ,0
 0.939 ,14.59 ,       26 ,       19 ,0.28   ,      0.00 ,         100.0 ,         12.81 ,         72 ,       11 , 56.10 ,2.84 ,14.41 , 53.7 , 57.6 ,2224 ,7.02        ,        29.4 ,           32 ,         51.76 ,0
 1.028 ,14.59 ,       29 ,       18 ,0.41   ,      0.00 ,         100.0 ,         12.60 ,         72 ,       11 , 57.15 ,2.86 ,14.41 , 52.2 , 57.6 ,2187 ,7.14        ,        29.4 ,           32 ,         51.76 ,0
